cnty,label,nparty,party.inst,media.diff,delib,leader,ideo,polid,polact,civic,educ,lgdp,lpop
8,Albania,2.94,0.48,0.82,0.34,0.05,-0.42,0,1.73,0.2,0.75,23.42,14.85
20,Andorra,.,.,.,0.65,.,.,0,1.81,0.87,0.71,21.87,11.26
31,Azerbaijan,1,0.26,-1.72,0.06,2.25,0.1,0,1.5,0.2,0.71,24.48,16.12
32,Argentina,4.11,0.8,1.93,0.63,-0.71,-1.04,0,1.89,1.22,0.84,26.66,17.64
36,Australia,4.71,2.26,1.49,0.79,-1.76,-1.34,0,2.2,2.56,0.92,27.91,17.06
40,Austria,4.08,2.39,2.36,0.77,-1.53,-1.11,0,1.96,1.24,0.87,26.78,16.00
50,Bangladesh,2.94,0.84,1.44,0.16,2.22,0.96,0,1.7,1.17,0.51,26.50,18.93
51,Armenia,3.04,0.67,0.32,0.27,-0.53,-0.82,0,1.76,0.44,0.74,23.26,14.90
68,Bolivia,2.26,1.06,1.52,0.53,0.88,0.74,0,1.85,2.55,0.69,24.32,16.28
70,Bosnia,10.68,0.71,1.27,0.41,-1.03,2.02,0,1.88,0.59,0.71,23.72,15.01
76,Brazil,18.01,0.85,1.72,0.73,-0.37,-0.69,0,1.96,1.37,0.69,28.00,19.18
100,Bulgaria,4.69,1.1,1.48,0.58,-1.17,-2.03,0,1.74,0.48,0.79,24.96,15.75
104,Myanmar,2.46,0.83,-0.58,0.17,-0.23,0.55,1,1.63,1.43,0.45,25.05,17.82
112,Belarus,1.79,1.16,-1.64,0.09,2.87,1.12,0,1.61,0.66,0.84,24.82,16.05
152,Chile,4.03,1.82,1.52,0.8,-2.1,-1.15,0,1.7,2.21,0.8,26.25,16.76
156,China,1,1.36,-1.86,0.16,1.64,1.81,1,1.48,0.73,0.65,30.33,21.07
158,Taiwan ROC,3.23,1.22,1.48,0.69,-1.32,-1.29,0,1.79,2.54,0.65,30.33,21.07
170,Colombia,8.46,0.17,1.36,0.44,-1.11,0.73,0,1.83,3.8,0.68,26.32,17.75
191,Croatia,3.82,1.66,1.75,0.61,-1.14,0.59,0,1.95,1.08,0.8,24.75,15.22
196,Cyprus,5.12,1.95,2.36,0.74,-1.45,0.12,0,1.87,2.03,0.81,23.90,14.00
203,Czechia,6.92,1.79,2.2,0.76,-1.63,-2.35,0,1.79,1.1,0.89,26.23,16.19
208,Denmark,6.46,2.96,2.29,0.87,-2.83,-2.09,0,2.17,2.52,0.92,26.59,15.59
218,Ecuador,4.45,0.12,0.94,0.45,-0.27,-0.31,0,1.81,2.28,0.71,25.31,16.69
231,Ethiopia,1,0.63,-1.21,0.16,-0.1,1.3,0,1.53,2.68,0.33,25.40,18.56
233,Estonia,5.16,1.73,2.31,0.79,-2.64,-1.34,0,1.73,0.34,0.88,24.15,14.09
246,Finland,6.57,2.39,2.33,0.82,-2.17,-1.4,0,1.99,1.93,0.93,26.32,15.52
250,France,6.82,2.21,1.59,0.81,-1.44,-0.78,0,2.02,0.7,0.81,28.60,18.03
268,Georgia,3.17,0.99,1.38,0.41,0.38,-0.87,0,1.77,0.31,0.85,23.49,15.13
276,Germany,6.18,2.86,2.45,0.87,-2.16,-2.53,0,2.14,1.72,0.94,28.97,18.24
300,Greece,4.51,1.42,2.24,0.8,-1.45,-1.14,0,1.92,0.62,0.83,25.97,16.19
320,Guatemala,14.89,-0.33,0.94,0.38,-1.74,-0.8,0,1.85,3.68,0.51,25.08,16.65
344,Hong Kong SAR,0.03,1.08,1.34,0.29,-0.82,1.3,0,1.71,2.2,0.86,26.57,15.82
