cnty,label,vdem_label,d_polid,d_mode,d_size,d_lang,educ,polact,civic,nparty,parorg,parbra,parlink,parplat,parcoh,polar,media,ethnic,relig
8,Albania,Albania,0,PAPI,1435,Multiple,3.02,1.43,0.02,2.94,0.28,0.2,-0.7,1.03,1.09,-1.33,0.73,0.14,0.22
20,Andorra,.,0,PAPI,1004,Multiple,3.86,1.84,0.08,6.89,.,.,.,.,.,.,.,.,0.71
31,Azerbaijan,Azerbaijan,0,PAPI,1800,Multiple,3.57,1.22,0.02,1,-0.16,-0.3,-0.03,-0.92,1.79,0.3,0.2,0.12,0.2
32,Argentina,Argentina,0,PAPI,1003,Single,2.74,1.68,0.11,4.11,1.11,1.41,0.43,1.06,0.81,0.76,0.87,0.16,0.26
36,Australia,Australia,0,Others,1813,Single,4.66,2.12,0.24,4.71,2.06,1.24,2.04,2.79,2.06,0.41,0.92,0.28,0.09
40,Austria,Austria,0,CAPI,1644,Single,3.57,1.79,0.11,4.08,2.17,1.54,2.08,2.65,2.47,-0.2,0.94,0.25,0.11
50,Bangladesh,Bangladesh,0,PAPI,1200,Single,1.85,1.44,0.11,2.94,1.14,0.27,-0.09,0.9,1.94,1.4,0.81,0.03,0.05
51,Armenia,Armenia,0,PAPI,1500,Single,4.14,1.55,0.04,3.04,0.64,0.41,-0.44,1.03,1.37,0.97,0.53,0.05,0.13
68,Bolivia,Bolivia,0,CAPI,2067,Single,3.35,1.56,0.24,2.26,1.34,1.21,0.5,1.1,1.44,0.81,0.77,0.57,0.74
70,Bosnia and Herzegovina,Bosnia and Herzegovina,0,CAPI,1724,Multiple,3.26,1.77,0.05,5.65,0.86,1.06,-0.99,1.09,1.97,1.09,0.78,0.64,0.63
76,Brazil,Brazil,0,CAPI,1762,Single,2.78,1.83,0.13,18.01,1.89,1.47,1.1,1.4,0.01,0.44,0.9,0.56,0.54
100,Bulgaria,Bulgaria,0,PAPI,1558,Single,3.68,1.47,0.08,4.69,0.87,1.32,0.29,2.16,0.97,-1.25,0.81,0.29,0.4
